"*1648.00.0000*","","","","wild-caught","","","","","wild-caught","","","","1648.00.0000","1648","1648","","","","","","","Capture Details","BEAR PAW LAKE","BP","50","","0 %","","","","","","","","","Location: Fish Room Cabinet 2 shelf 4Not Stained75 Fish in JarIn Lab Jar Storage","","BEAR PAW LAKE ix","BP ix","[indv-dead]","","","","[indv-dead]","wc - Bear Paw Lake","","","",""
"*1649.00.0000*","","","","","","","","","wild-caught","","","","1649.00.0000","1649","1649","","","","","","","Capture Details","SALMON CREEK SLOUGH, KENAI, AK","SALMON CREEK SLOUGH","30","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #5In Lab Jar StorageStained25 Fish in Jar","","SALMON CREEK SLOUGH, KENAI, AK ix","SALMON CREEK SLOUGH ix","error","","","","error","wc - salmon creek slough","","","",""
"*1650.00.0000*","","","","","","","","","wild-caught","","","","1650.00.0000","1650","1650","","","","","","","Capture Details","HIDDEN LAKE, KENAI, AK","HIDDEN LAKE","70","","0 %","","","","","","","","","Location: Fish Room Cabinet 2 Box #57Unindividualized in Fish Room Cabinet 2Section #5Not Stained100 Fish in Jar","","HIDDEN LAKE, KENAI, AK ix","HIDDEN LAKE ix","[indv-dead]","","","","[indv-dead]","wc - hidden lake","","","",""
"*1651.00.0000*","","","","","","","","","wild-caught","","","","1651.00.0000","1651","1651","","","","","","","Capture Details","GEORGINA LAKE","GEORGINA LAKE","20","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #5Not Stained25 Fish in Jar","","GEORGINA LAKE ix","GEORGINA LAKE ix","error","","","","error","wc - georgina lake","","","",""
"*1652.00.0000*","","","","wild-caught","","","","","wild-caught","","","","1652.00.0000","1652","1652","","","","","","","Capture Details","ARROW LAKE","ARROW LAKE","80","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #5Not Stained100 Fish in Jar","","ARROW LAKE ix","ARROW LAKE ix","error","","","","error","wc - arrow lake","","","",""
"*1653.00.0000*","","","","wild-caught","","","","","wild-caught","","","","1653.00.0000","1653","1653","","","","","","","Capture Details","BENKA LAKE - REGION 3","BENKA LAKE REGION 3","30","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #6Stained50 Fish in Jar","","BENKA LAKE - REGION 3 ix","BENKA LAKE REGION 3 ix","error","","","","error","wc - benka lake, region 3","","","",""
"*1654.00.0000*","","","","","","","","","wild-caught","","","","1654.00.0000","1654","1654","","","","","","","Capture Details","LITTLE BEAVER LAKE, MAT-SU, AK","LITTLE BEAVER LAKE","20","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #6Not Stained30 Fish in Jar","","LITTLE BEAVER LAKE, MAT-SU, AK ix","LITTLE BEAVER LAKE ix","error","","","","error","wc - little beaver lake","","","",""
"*1655.00.0000*","","","","wild-caught","","","","","wild-caught","","","","1655.00.0000","1655","1655","","","","","","","Capture Details","BEAR PAW LAKE","BP","25","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #6Stained25 Fish in Jar","","BEAR PAW LAKE ix","BP ix","error","","","","error","wc - bear paw lake","","","",""
"*1656.00.0000*","","","","","","","","","wild-caught","","","","1656.00.0000","1656","1656","","","","","","","Capture Details","STORMY LAKE, KENAI, AK","STORMY LAKE","20","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #6Stained30 Fish in Jar","","STORMY LAKE, KENAI, AK ix","STORMY LAKE ix","error","","","","error","WC - STORMY LAKE","","","",""
"*1657.00.0000*","","","","","","","","","wild-caught","","","","1657.00.0000","1657","1657","","","","","","","Capture Details","SUNRIVER, OR","SUNRIVER","20","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #6Not Stained25 Fish in Jar","","SUNRIVER, OR ix","SUNRIVER ix","error","","","","error","WC - SUNRIVER","","","",""
"*1658.00.0000*","","","","wild-caught","","","","","wild-caught","","","","1658.00.0000","1658","1658","","","","","","","Capture Details","BENKA LAKE - REGION 6","BENKA LAKE REGION 6","80","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #6Stained150 Fish in Jar","","BENKA LAKE - REGION 6 ix","BENKA LAKE REGION 6 ix","error","","","","error","WC - BK Region 6","","","",""
"*1659.00.0000*","","","","wild-caught","","","","","wild-caught","","","","1659.00.0000","1659","1659","","","","","","","Capture Details","MEADOW CREEK, MAT-SU, AK","MEADOW CREEK","25","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #6Stained30 Fish in Jar","","MEADOW CREEK, MAT-SU, AK ix","MEADOW CREEK ix","error","","","","error","WC - Meadow Creek","","","",""
"*1660.00.0000*","","","","wild-caught","","","","","wild-caught","","","","1660.00.0000","1660","1660","","","","","","","Capture Details","ARROW LAKE","ARROW LAKE","30","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #6Stained30 Fish in Jar","","ARROW LAKE ix","ARROW LAKE ix","error","","","","error","WC - ARROW LAKE","","","",""
"*1661.00.0000*","","","","wild-caught","","","","","wild-caught","","","","1661.00.0000","1661","1661","","","","","","","Capture Details","ARROW LAKE","ARROW LAKE","80","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #6Not Stained150 Fish in Jar","","ARROW LAKE ix","ARROW LAKE ix","error","","","","error","WC - ARROW LAKE","","","",""
"*1662.00.0000*","","","","","","","","","wild-caught","","","","1662.00.0000","1662","1662","","","","","","","Capture Details","Y LAKE, MAT-SU, AK","Y LAKE","90","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #6Not Stained100 Fish in Jar","","Y LAKE, MAT-SU, AK ix","Y LAKE ix","error","","","","error","WC - Y LAKE","","","",""
"*1663.00.0000*","","","","","","","","","wild-caught","","","","1663.00.0000","1663","1663","","","","","","","Capture Details","NESUATN HEGRENES, ICELAND","NESUATN HEGRENES","70","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #6Stained150 Fish in Jar","","NESUATN HEGRENES, ICELAND ix","NESUATN HEGRENES ix","error","","","","error","WC - NESUATN HEGRENES","","","",""
"*1664.00.0000*","","","","wild-caught","","","","","wild-caught","","","","1664.00.0000","1664","1664","","","","","","","Capture Details","CORCORAN LAKE, MAT-SU, AK","CORCORAN LAKE","90","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #6Not Stained125 Fish in Jar","","CORCORAN LAKE, MAT-SU, AK ix","CORCORAN LAKE ix","error","","","","error","WC - CORCORAN LAKE","","","",""
"*1665.00.0000*","","","","wild-caught","","","","","wild-caught","","","","1665.00.0000","1665","1665","","","","","","","Capture Details","BOOT LAKE","BT","20","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #6In Lab Jar StorageStained","","BOOT LAKE ix","BT ix","error","","","","error","WC - BOOT LAKE","","","",""
"*1666.00.0000*","","","","","","","","","wild-caught","","","","1666.00.0000","1666","1666","","","","","","","Capture Details","UPPER COHOE LAKE, KENAI, AK","UPPER COHOE LAKE","30","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #6Not Stained40 Fish in Jar","","UPPER COHOE LAKE, KENAI, AK ix","UPPER COHOE LAKE ix","error","","","","error","WC - UPPER COHOE LAKE","","","",""
"*1667.00.0000*","","","","","","","","","wild-caught","","","","1667.00.0000","1667","1667","","","","","","","Capture Details","ROCKY LAKE","ROCKY LAKE","20","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #6Not Stained30 Fish in Jar","","ROCKY LAKE ix","ROCKY LAKE ix","error","","","","error","WC- ROCKY LAKE","","","",""
"*1668.00.0000*","","","","wild-caught","","","","","wild-caught","","","","1668.00.0000","1668","1668","","","","","","","Capture Details","WILLOW LAKE, MAT-SU, AK","WILLOW LAKE","70","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #6Not Stained150 Fish in Jar","","WILLOW LAKE, MAT-SU, AK ix","WILLOW LAKE ix","error","","","","error","WC - WILLOW LAKE","","","",""
"*1669.00.0000*","","","","","","","","","wild-caught","","","","1669.00.0000","1669","1669","","","","","","","Capture Details","K-LAKE","K-LAKE","20","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #6Not Stained30 Fish in Jar","","K-LAKE ix","K-LAKE ix","error","","","","error","WC - K-LAKE","","","",""
"*1670.00.0000*","","","","","","","","","wild-caught","","","","1670.00.0000","1670","1670","","","","","","","Capture Details","KIDNEY LAKE, KENAI, AK","KIDNEY LAKE","50","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #6Not Stained75 Fish ","","KIDNEY LAKE, KENAI, AK ix","KIDNEY LAKE ix","error","","","","error","WC - KIDNEY LAKE","","","",""
"*1671.00.0000*","","","","","","","","","wild-caught","","","","1671.00.0000","1671","1671","","","","","","","Capture Details","DANIELS LAKE","DANIELS LAKE","25","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #6Not Stained30 Fish in Jar","","DANIELS LAKE ix","DANIELS LAKE ix","error","","","","error","WC - DANIELS LAKE","","","",""
"*1672.00.0000*","","","","wild-caught","","","","","wild-caught","","","","1672.00.0000","1672","1672","","","","","","","Capture Details","BENKA LAKE - REGION 3","BENKA LAKE REGION 3","70","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #6Stained100 Fish in Jar","","BENKA LAKE - REGION 3 ix","BENKA LAKE REGION 3 ix","error","","","","error","WC - BK REGION 3","","","",""
"*1673.00.0000*","","","","wild-caught","","","","","wild-caught","","","","1673.00.0000","1673","1673","","","","","","","Capture Details","BENKA LAKE - REGION 1","BENKA LAKE REGION 1","80","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #6Stained200 Fish in Jar","","BENKA LAKE - REGION 1 ix","BENKA LAKE REGION 1 ix","error","","","","error","WC - BK REGION 1","","","",""
"*1674.00.0000*","","","","wild-caught","","","","","wild-caught","","","","1674.00.0000","1674","1674","","","","","","","Capture Details","BENKA LAKE - REGION 4","BENKA LAKE REGION 4","40","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #6Stained35 Fish in Jar","","BENKA LAKE - REGION 4 ix","BENKA LAKE REGION 4 ix","error","","","","error","WC - BK REGION 4","","","",""
"*1675.00.0000*","","","","wild-caught","","","","","wild-caught","","","","1675.00.0000","1675","1675","","","","","","","Capture Details","BOOT LAKE","BT","50","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #6Not Stained100 Fish in Jar","","BOOT LAKE ix","BT ix","error","","","","error","WC - BOOT LAKE","","","",""
"*1676.00.0000*","","","","wild-caught","","","","","wild-caught","","","","1676.00.0000","1676","1676","","","","","","","Capture Details","WHALE LAKE","WH","50","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #7Stained75 Fish in Jar","","WHALE LAKE ix","WH ix","error","","","","error","WC - WHALE LAKE","","","",""
"*1677.00.0000*","","","","wild-caught","","","","","wild-caught","","","","1677.00.0000","1677","1677","","","","","","","Capture Details","MUD LAKE","MUDLAKE","25","","0 %","","","","","","","","","Stained30 Fish in JarIn Lab Jar Storage","","MUD LAKE ix","MUDLAKE ix","error","","","","error","WC - MUD LAKE","","","",""
"*1678.00.0000*","","","","wild-caught","","","","","wild-caught","","","","1678.00.0000","1678","1678","","","","","","","Capture Details","BOOT LAKE","BT","150","","0 %","","","","","","","","","Location: Fish Room Cabinet 2 Box #58 Unindividualized in Fish Room Cabinet 2Section #7Not Stained300 Fish in Jar","","BOOT LAKE ix","BT ix","[indv-dead]","","","","[indv-dead]","WC - BOOT LAKE","","","",""
"*1679.00.0000*","","","","","","","","","wild-caught","","","","1679.00.0000","1679","1679","","","","","","","Capture Details","BIBLE CAMP LAKE, KENAI, AK","BIBLE CAMP LAKE","20","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #7Not Stained20 fish in jar","","BIBLE CAMP LAKE, KENAI, AK ix","BIBLE CAMP LAKE ix","error","","","","error","WC - BIBLE CAMP LAKE","","","",""
"*1680.00.0000*","","","","","","","","","wild-caught","","","","1680.00.0000","1680","1680","","","","","","","Capture Details","KALM BACH LAKE, MAT-SU, AK","KALM BACH LAKE","40","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #7Not Stained50 fish in jar","","KALM BACH LAKE, MAT-SU, AK ix","KALM BACH LAKE ix","error","","","","error","WC - KALM BACH LAKE","","","",""
"*1681.00.0000*","","","","","","","","","wild-caught","","","","1681.00.0000","1681","1681","","","","","","","Capture Details","ARNESS LAKE, KENAI, AK","ARNESS LAKE","60","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #7Not Stained100 Fish in Jar","","ARNESS LAKE, KENAI, AK ix","ARNESS LAKE ix","error","","","","error","WC - ARNESS LAKE","","","",""
"*1682.00.0000*","","","","","","","","","wild-caught","","","","1682.00.0000","1682","1682","","","","","","","Capture Details","WEST BOTTLENECK, KENAI, AK","WEST BOTTLENECK","25","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #7Not Stained30 Fish in Jar","","WEST BOTTLENECK, KENAI, AK ix","WEST BOTTLENECK ix","error","","","","error","WC - WB","","","",""
"*1683.00.0000*","","","","","","","","","wild-caught","","","","1683.00.0000","1683","1683","","","","","","","Capture Details","ORPHEA LAKE","ORPHEA LAKE","15","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #7Not Stained20 Fish in Jar","","ORPHEA LAKE ix","ORPHEA LAKE ix","error","","","","error","WC - ORPHEA LAKE","","","",""
"*1684.00.0000*","","","","","","","","","wild-caught","","","","1684.00.0000","1684","1684","","","","","","","Capture Details","MORVRO LAKE","MORVRO LAKE","50","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #7Not Stained100 Fish in Jar","","MORVRO LAKE ix","MORVRO LAKE ix","error","","","","error","WC - MORVRO LAKE","","","",""
"*1685.00.0000*","","","","wild-caught","","","","","wild-caught","","","","1685.00.0000","1685","1685","","","","","","","Capture Details","MUD LAKE","MUDLAKE","20","","0 %","","","","","","","","","Location: Fish Room Cabinet 2 Box #58 Unindividualized in Fish Room Cabinet 2Section #7Not Stained25 fish in jar","","MUD LAKE ix","MUDLAKE ix","[indv-dead]","","","","[indv-dead]","WC - MUD LAKE","","","",""
"*1686.00.0000*","","","","wild-caught","","","","","wild-caught","","","","1686.00.0000","1686","1686","","","","","","","Capture Details","MUD LAKE","MUDLAKE","80","","0 %","","","","","","","","","Location: Fish Room Cabinet 2 Box #58Unindividualized in Fish Room Cabinet 2Section #7Not Stained50 fish in jar","","MUD LAKE ix","MUDLAKE ix","[indv-dead]","","","","[indv-dead]","WC - MUD LAKE","","","",""
"*1687.00.0000*","","","","wild-caught","","","","","wild-caught","","","","1687.00.0000","1687","1687","","","","","","","Capture Details","BRUCE LAKE","BRUCE LAKE","100","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #7Not Stained250 fish in jar","","BRUCE LAKE ix","BRUCE LAKE ix","error","","","","error","WC - BRUCE LAKE","","","",""
"*1688.00.0000*","","","","wild-caught","","","","","wild-caught","","","","1688.00.0000","1688","1688","","","","","","","Capture Details","BENKA LAKE - REGION 3","BENKA LAKE REGION 3","40","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #7Not Stained75 Fish in Jar","","BENKA LAKE - REGION 3 ix","BENKA LAKE REGION 3 ix","error","","","","error","WC - BK REGION 3","","","",""
"*1689.00.0000*","","","","","","","","","wild-caught","","","","1689.00.0000","1689","1689","","","","","","","Capture Details","NANCY LAKE","NANCY LAKE","20","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #7Not Stained30 Fish in Jar","","NANCY LAKE ix","NANCY LAKE ix","error","","","","error","WC - NANCY LAKE","","","",""
"*1690.00.0000*","","","","wild-caught","","","","","wild-caught","","","","1690.00.0000","1690","1690","","","","","","","Capture Details","BENKA LAKE - REGION 5","BENKA LAKE REGION 5","30","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #7Not Stained25 Fish in jar","","BENKA LAKE - REGION 5 ix","BENKA LAKE REGION 5 ix","error","","","","error","WC - BK REGION 5","","","",""
"*1691.00.0000*","","","","wild-caught","","","","","wild-caught","","","","1691.00.0000","1691","1691","","","","","","","Capture Details","BRUCE LAKE","BRUCE LAKE","110","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #7Not Stained200 Fish in Jar","","BRUCE LAKE ix","BRUCE LAKE ix","error","","","","error","WC - BRUCE LAKE","","","",""
"*1692.00.0000*","","","","","","","","","wild-caught","","","","1692.00.0000","1692","1692","","","","","","","Capture Details","WALBY LAKE","WALBY LAKE","25","","0 %","","","","","","","","","Not Stained30 Fish in JarIn Lab Jar Storage","","WALBY LAKE ix","WALBY LAKE ix","error","","","","error","WC - WALBY LAKE","","","",""
"*1693.00.0000*","","","5/8/2009","8-May-2009","11:20:00","","1792","26","1792 days","11","5/29/2009","4","1693.00.0000","1693","1693","","","","","","","","BEAR PAW LAKE","BP","66","66","100 %","","","","","","","","","NOT PRESENT","0","BEAR PAW LAKE ix","BP ix","error","","","","error","stock - bear paw","100 %","100 %","",""
"*1694.00.0000*","","","5/8/2009","8-May-2009","11:20:00","","1792","26","1792 days","11","5/29/2009","4","1694.00.0000","1694","1694","","","","","","","","BOOT LAKE","BT","45","42","93 %","","","","","","","","","Location: Fish Room Cabinet 2 Box #58","1","BOOT LAKE ix","BT ix","[indv-dead]","","","","[indv-dead]","inbred - boot","100 %","100 %","",""
"*1695.00.0000*","","","","wild-caught","","","","","wild-caught","","","","1695.00.0000","1695","1695","","","","","","","Capture Details","MUD BAY","MUD BAY","11","","0 %","","","","","","","","","Location: Fish Room Cabinet 2 Box #58Not Stained100 Fish in Jar","","MUD BAY ix","MUD BAY ix","error","","","","error","wc - mud bay","","","",""
"*1696.00.0000*","","","","wild-caught","","","","","wild-caught","","","","1696.00.0000","1696","1696","","","","","","","Capture Details","DEEP CREEK SLOUGH","DEEP CREEK SLOUGH","75","","0 %","","","","","","","","","Location: Fish Room Cabinet 2 Box #58Not Stained50 fish in jar","","DEEP CREEK SLOUGH ix","DEEP CREEK SLOUGH ix","error","","","","error","wc - deep creek slough","","","",""
"*1697.00.0000*","","","","wild-caught","","","","","wild-caught","","","","1697.00.0000","1697","1697","","","","","","","Capture Details","BELUGA SLOUGH","BELUGA SLOUGH","15","","0 %","","","","","","","","","Not Stained30 Fish in JarIn Lab Jar Storage","","BELUGA SLOUGH ix","BELUGA SLOUGH ix","error","","","","error","wc - beluga slough","","","",""
"*1698.00.0000*","","","","wild-caught","","","","","wild-caught","","","","1698.00.0000","1698","1698","","","","","","","Capture Details","DEEP CREEK SLOUGH","DEEP CREEK SLOUGH","50","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #8Not Stained30 Fish in Jar","","DEEP CREEK SLOUGH ix","DEEP CREEK SLOUGH ix","error","","","","error","wc deep creek slough","","","",""
"*1699.00.0000*","","","","wild-caught","","","","","wild-caught","","","","1699.00.0000","1699","1699","","","","","","","Capture Details","BELUGA SLOUGH","BELUGA SLOUGH","30","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #8Not Stained25 fish in jar","","BELUGA SLOUGH ix","BELUGA SLOUGH ix","error","","","","error","wc - beluga slough","","","",""
"*1700.00.0000*","","","","wild-caught","","","","","wild-caught","","","","1700.00.0000","1700","1700","","","","","","","Capture Details","ANCHOR RIVER","ANCHOR RIVER","20","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #8Not Stained20 fish in jar","","ANCHOR RIVER ix","ANCHOR RIVER ix","error","","","","error","wc - anchor river","","","",""
"*1701.00.0000*","","","","wild-caught","","","","","wild-caught","","","","1701.00.0000","1701","1701","","","","","","","Capture Details","ANCHOR RIVER","ANCHOR RIVER","50","","0 %","","","","","","","","","Location: Fish Room Cabinet 2 Box #58Unindividualized in Fish Room Cabinet 2Section #8","","ANCHOR RIVER ix","ANCHOR RIVER ix","[indv-dead]","","","","[indv-dead]","wc - anchor river","","","",""
"*1702.00.0000*","","","","","","","","","wild-caught","","","","1702.00.0000","1702","1702","","","","","","","Capture Details","RESURRECTION BAY SLOUGH","RESURRECTION BAY SLOUGH","100","","0 %","","","","","","","","","Location: Fish Room Cabinet 2 Box #58Unindividualized in Fish Room Cabinet 2Section #8Not Stained30 fish in jar","","RESURRECTION BAY SLOUGH ix","RESURRECTION BAY SLOUGH ix","[indv-dead]","","","","[indv-dead]","wc - resurrection bay slough","","","",""
"*1703.00.0000*","","","","wild-caught","","","","","wild-caught","","","","1703.00.0000","1703","1703","","","","","","","Capture Details","SCIENCE FACTORY POND","SCIENCE FACTORY POND","100","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #8Not Stained25 fish in jar","","SCIENCE FACTORY POND ix","SCIENCE FACTORY POND ix","error","","","","error","wc - science factory pond","","","",""
"*1704.00.0000*","","","","wild-caught","","","","","wild-caught","","","","1704.00.0000","1704","1704","","","","","","","Capture Details","SEYMOUR LAKE","SEYMOUR LAKE","25","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #8Not Stained25 fish in jar","","SEYMOUR LAKE ix","SEYMOUR LAKE ix","error","","","","error","wild caught - Seymour Lake","","","",""
"*1705.00.0000*","","","","wild-caught","","","","","wild-caught","","","","1705.00.0000","1705","1705","","","","","","","Capture Details","BENKA LAKE - REGION 6","BENKA LAKE REGION 6","40","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #8Fish are Stained30 fish in jar","","BENKA LAKE - REGION 6 ix","BENKA LAKE REGION 6 ix","error","","","","error","wild caught - BK REGION 6","","","",""
"*1706.00.0000*","","","","wild-caught","","","","","wild-caught","","","","1706.00.0000","1706","1706","","","","","","","Capture Details","BENKA LAKE - REGION 1","BENKA LAKE REGION 1","30","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #8Fish are Stained30 fish in jar","","BENKA LAKE - REGION 1 ix","BENKA LAKE REGION 1 ix","error","","","","error","wild caught - BK REG 1","","","",""
"*1707.00.0000*","","","","wild-caught","","","","","wild-caught","","","","1707.00.0000","1707","1707","","","","","","","Capture Details","BENKA LAKE - REGION 5","BENKA LAKE REGION 5","30","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #8Fish are Stained25 fish in jar","","BENKA LAKE - REGION 5 ix","BENKA LAKE REGION 5 ix","error","","","","error","wild caught - BK REG 5","","","",""
"*1708.00.0000*","","","","wild-caught","","","","","wild-caught","","","","1708.00.0000","1708","1708","","","","","","","Capture Details","BENKA LAKE REGION 2","BENKA LAKE REGION 2","10","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #8Fish are Stained10 fish in jar","","BENKA LAKE REGION 2 ix","BENKA LAKE REGION 2 ix","error","","","","error","wild caught - BK REG 2","","","",""
"*1709.00.0000*","","","","","","","","","wild-caught","","","","1709.00.0000","1709","1709","","","","","","","Capture Details","WEINEE LAKE","WEINEE LAKE","10","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #8Not Stained10 Fish in Jar","","WEINEE LAKE ix","WEINEE LAKE ix","error","","","","error","wild caught - WEINEE LAKE","","","",""
"*1710.00.0000*","","","","","","","","","wild-caught","","","","1710.00.0000","1710","1710","","","","","","","Capture Details","ENCELEWSKY","ENCELEWSKY","25","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #8Not Stained30 fish in jar","","ENCELEWSKY ix","ENCELEWSKY ix","error","","","","error","WC - ENCELEWSKY","","","",""
"*1711.00.0000*","","","","wild-caught","","","","","wild-caught","","","","1711.00.0000","1711","1711","","","","","","","Capture Details","BENKA LAKE - REGION 4","BENKA LAKE REGION 4","50","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #8Not Stained30 Fish in Jar","","BENKA LAKE - REGION 4 ix","BENKA LAKE REGION 4 ix","error","","","","error","WC - BK REGION 4","","","",""
"*1712.00.0000*","","","","","","","","","wild-caught","","","","1712.00.0000","1712","1712","","","","","","","Capture Details","WEST LAKE","WEST LAKE","30","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #8Not Stained30 Fish in Jar","","WEST LAKE ix","WEST LAKE ix","error","","","","error","WC - WEST LAKE","","","",""
"*1713.00.0000*","","","","","","","","","wild-caught","","","","1713.00.0000","1713","1713","","","","","","","Capture Details","SUNEVA LAKE, KENAI","SUNEVA LAKE","80","","0 %","","","","","","","","","In Lab Jar StorageNot Stained50 Fish in Jar","","SUNEVA LAKE, KENAI ix","SUNEVA LAKE ix","error","","","","error","WC - SUNEVA LAKE","","","",""
"*1714.00.0000*","","","","","","","","","wild-caught","","","","1714.00.0000","1714","1714","","","","","","","Capture Details","BENKA LAKE BENTHICS","BENKA LAKE BENTHICS","70","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #8Stained100 Fish in Jar","","BENKA LAKE BENTHICS ix","BENKA LAKE BENTHICS ix","error","","","","error","WC - BK BENTHICS","","","",""
"*1715.00.0000*","","","","","","","","","wild-caught","","","","1715.00.0000","1715","1715","","","","","","","Capture Details","KALM BACH LAKE, MAT-SU, AK","KALM BACH LAKE","10","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #8Not Stained10 Fish in Jar","","KALM BACH LAKE, MAT-SU, AK ix","KALM BACH LAKE ix","error","","","","error","WC - KALMBACH LAKE","","","",""
"*1716.00.0000*","","","","","","","","","wild-caught","","","","1716.00.0000","1716","1716","","","","","","","Capture Details","KALM BACH LAKE, MAT-SU, AK","KALM BACH LAKE","100","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #8Not Stained100 Fish in Jar","","KALM BACH LAKE, MAT-SU, AK ix","KALM BACH LAKE ix","error","","","","error","WC - KALMBACH LAKE","","","",""
"*1717.00.0000*","","","","","","","","","wild-caught","","","","1717.00.0000","1717","1717","","","","","","","Capture Details","FALK LAKE","FALK LAKE","30","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #8Not Stained30 fis in jar","","FALK LAKE ix","FALK LAKE ix","error","","","","error","WC - FALK LAKE","","","",""
"*1718.00.0000*","","","","wild-caught","","","","","wild-caught","","","","1718.00.0000","1718","1718","","","","","","","Capture Details","BENKA LAKE - REGION 4","BENKA LAKE REGION 4","8","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #8Fish are Stained8 Fish in jar","","BENKA LAKE - REGION 4 ix","BENKA LAKE REGION 4 ix","error","","","","error","WC - BK REGION 4","","","",""
"*1719.00.0000*","","","","","","","","","wild-caught","","","","1719.00.0000","1719","1719","","","","","","","Capture Details","LOBERG LAKE","LOBERG LAKE","25","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #9Not Stained20 fish in jar","","LOBERG LAKE ix","LOBERG LAKE ix","error","","","","error","WC - LOBERG LAKE","","","",""
"*1720.00.0000*","","","","wild-caught","","","","","wild-caught","","","","1720.00.0000","1720","1720","","","","","","","Capture Details","BENKA LAKE - REGION 5","BENKA LAKE REGION 5","60","","0 %","","","","","","","","","Location: Unindividualized in Fish Room Cabinet 2Section #9Stained50 Fish in Jar","","BENKA LAKE - REGION 5 ix","BENKA LAKE REGION 5 ix","error","","","","error","WC - BK REGION 5","","","",""
