sbGeneticsConstant::captureDate,sbGeneticsConstant::identification,sbGeneticsConstant::materialTransferAgreement,sbGeneticsConstant::mutantAllele,sbGeneticsConstant::phenotype,sbGeneticsConstant::researcherCommentsGenetics,sbGeneticsConstant::researcherInitials,sbGeneticsConstant::source,sbGeneticsConstant::species,sbGeneticsConstant::transgenes
,F2 QTL; Bear Paw by RS,,,,,,,
,F2 QTL Back; Boot by RS,,,,,,,
,stock - Boot Lake,,,,,,,
,F2 QTL; Whale by RS,,,,,,,Gasterosteus aculeatus
,F2 QTL Back; Boot by RS,,,,,,,Gasterosteus aculeatus
,stock - Bear Paw Lake,,,,,,,Gasterosteus aculeatus
,stock - Boot Lake,,,,,,,Gasterosteus aculeatus
,F2 QTL Back; Boot by RS,,,,,,,Gasterosteus aculeatus
,stock - Boot Lake,,,,2 females,,,Gasterosteus aculeatus




,F2 QTL; Boot by RS,,,,###############################################################################################################################################################################################################################################################,,,
,stock - Boot Lake,,,,3 females,,,Gasterosteus aculeatus
,F2 QTL Back; Bear Paw by RS,,,,,,,
,F2 QTL; Whale by RS,,,,,,,Gasterosteus aculeatus
,F2 QTL Back; Whale by RS,,,,,,,Gasterosteus aculeatus
,F2 QTL; Boot by RS,,,,,,,
,F2 QTL; Boot by RS,,,,,,,
,F2 QTL Back; Boot by RS,,,,,,,
,F2 QTL; Whale by RS,,,,,,,
,F2 QTL Back; Boot by RS,,,,,,,
,F2 QTL; Bear Paw by RS,,,,,,,
,F2 QTL; Bear Paw by RS,,,,,,,
,F2 QTL; Bear Paw by RS,,,,,,,
,stock - Bear Paw Lake,,,,2 females,,,Gasterosteus aculeatus
,stock - Boot Lake,,,,1 male and 1 female,,,
,F2 QTL; Bear Paw by RS,,,,,,,
,stock - Whale Lake,,,,,,,
,stock-inbreeding; Boot,,,,,,,
,stock - Siltcoos,,,,1 male and 1 female,,,
,F1 QTL; Siltcoos by RS,,,,,,,
,F2 QTL; Bear Paw by RS,,,,,,,
,stock-inbreeding; Bear Paw,,,,,,,
,complement; Boot by Whale,,,,,,,
,F1 QTL; Siltcoos by RS,,,,,,,
,stock - Siltcoos,,,,2 females,,,
,F1 QTL; Siltcoos by Whale,,,,,,,
,F1 QTL; Siltcoos by Whale,,,,,,,
